Added;Age;Alt Pos.;Att W/R;Body Type;Card ID;Club;Def W/R;Foot;Futwiz Link;Height;ID;League;Name;Nationality;Overall Rating;Player ID;Position;Price;Skill Moves;Version;Weak Foot;Weight;AcceleRATE;Acceleration;Aggression;Agility;Balance;Ball Control;Composure;Crossing;Curve;DEF;DRI;Def. Awareness;Dribbling;FK. Acc.;Finishing;Heading Acc.;Interceptions;Jumping;Long Pass;Long Shots;PAC;PAS;PHY;Penalties;PlayStyles;PlayStyles+;Positioning;Reactions;SHO;Short Pass;Shot Power;Slide Tackle;Sprint Speed;Stamina;Stand Tackle;Strength;Vision;Volleys;DIV;GK. Diving;GK. Handling;GK. Kicking;GK. Pos;GK. Reflexes;HAN;KIC;POS;REF;SPD
March 21, 2025 18:04;17;RM, CAM;;Avg & Normal;67380671;Arsenal;;Left;https://www.futwiz.com/en/fc25/player/ethan-nwaneri/22608;"5' 9"" / 176cm";22608;ENG 1;Ethan Nwaneri;England;93;271807;RW;11750;5 ;Dreamchasers UCL  ;4 ;70kg;;;;;;;;;;;;;;;;;;;;;;;;;Power Shot, Whipped Pass, Technical, First Touch, Relentless, ;Incisive Pass, Quick Step, ;;;;;;;;;;;;;;;;;;;;;;;
November 8, 2024 08:15;24;RM, RW;;Short & Normal;50595660;Portland Thorns;;Right;https://www.futwiz.com/en/fc25/player/sophia-wilson/19000;"5' 5"" / 164cm";19000;NWSL;Sophia Wilson;United States;95;264012;ST;;4 ;Ballon d'or  ;5 ;58kg;;;;;;;;;;;;;;;;;;;;;;;;;Finesse Shot, Chip Shot, Power Header, Technical, Flair, First Touch, Quick Step, ;Trickster, ;;;;;;;;;;;;;;;;;;;;;;;
March 28, 2025 18:00;32;RM;;Unique;167981491;Liverpool;;Left;https://www.futwiz.com/en/fc25/player/mohamed-salah/22655;"5' 9"" / 175cm";22655;ENG 1;Mohamed Salah;Egypt;95;209331;RW;59000;5 ;Dreamchasers UCL  ;4 ;72kg;;;;;;;;;;;;;;;;;;;;;;;;;Chip Shot, Pinged Pass, Tiki Taka, Whipped Pass, Flair, Trickster, Relentless, Trivela, ;Finesse Shot, Rapid, ;;;;;;;;;;;;;;;;;;;;;;;
January 17, 2025 18:00;33;CAM;;Unique;84079065;Manchester City;;Right;https://www.futwiz.com/en/fc25/player/kevin-de-bruyne/20617;"5' 11"" / 181cm";20617;ENG 1;Kevin De Bruyne;Belgium;94;192985;CM;1072000;4 ;Flashback  ;5 ;75kg;;;;;;;;;;;;;;;;;;;;;;;;;Finesse Shot, Dead Ball, Long Ball Pass, Whipped Pass, Technical, Trivela, ;Pinged Pass, Incisive Pass, ;;;;;;;;;;;;;;;;;;;;;;;
March 14, 2025 18:00;26;LM, ST;;Short & Lean;67340937;Chicago Red Stars;;Right;https://www.futwiz.com/en/fc25/player/mallory-swanson/22513;"5' 4"" / 163cm";22513;NWSL;Mallory Swanson;United States;93;232073;LW;11750;5 ;FUT Birthday  ;5 ;54kg;;;;;;;;;;;;;;;;;;;;;;;;;Finesse Shot, Chip Shot, Flair, First Touch, Trickster, Quick Step, Low Driven Shot, ;Technical, Rapid, ;;;;;;;;;;;;;;;;;;;;;;;
March 7, 2025 18:00;25;LM, CAM, ST;;Tall & Normal;84127801;Milano FC;;Right;https://www.futwiz.com/en/fc25/player/rafael-leao/22145;"6' 2"" / 188cm";22145;ITA 1;Rafael Leao;Portugal;94;241721;LW;49750;5 ;FUT Birthday  ;5 ;81kg;;;;;;;;;;;;;;;;;;;;;;;;;Finesse Shot, Incisive Pass, Tiki Taka, Whipped Pass, Rapid, Flair, ;Quick Step, Trickster, ;;;;;;;;;;;;;;;;;;;;;;;
March 28, 2025 18:00;45;LM, CAM;;--;67375665;Heroes;;Left;https://www.futwiz.com/en/fc25/player/harry-kewell/22676;"5' 11"" / 180cm";22676;ENG 1;Harry Kewell;Australia;92;266801;LW;11500;4 ;Dreamchasers Hero  ;4 ;0kg;;;;;;;;;;;;;;;;;;;;;;;;;Finesse Shot, Chip Shot, Whipped Pass, Rapid, First Touch, Press Proven, Relentless, ;Power Shot, Trivela, ;;;;;;;;;;;;;;;;;;;;;;;
March 29, 2025 18:00;26;LW;;Tall & Stocky;117682163;Sporting CP;;Right;https://www.futwiz.com/en/fc25/player/viktor-gyokeres/22689;"6' 2"" / 187cm";22689;POR 1;Viktor Gyokeres;Sweden;92;241651;ST;74950;4 ;Player Moments  ;5 ;94kg;;;;;;;;;;;;;;;;;;;;;;;;;Finesse Shot, Chip Shot, Power Shot, Power Header, Rapid, Quick Step, Aerial, ;Low Driven Shot, Press Proven, ;;;;;;;;;;;;;;;;;;;;;;;
April 4, 2025 18:00;57;CAM, ST, LW;;Tall & Normal;67300836;Heroes;;Right;https://www.futwiz.com/en/fc25/player/david-ginola/22732;"6' 1"" / 186cm";22732;ENG 1;David Ginola;France;94;191972;LM;31500;5 ;Immortal Hero  ;5 ;83kg;;;;;;;;;;;;;;;;;;;;;;;;;Power Shot, Flair, First Touch, Trickster, Quick Step, Relentless, ;Technical, Press Proven, Incisive Pass, ;;;;;;;;;;;;;;;;;;;;;;;
January 19, 2025 18:00;22;RM, RW;;Tall & Lean;134475262;Chelsea;;Left;https://www.futwiz.com/en/fc25/player/cole-palmer/20638;"6' 2"" / 189cm";20638;ENG 1;Cole Palmer;England;95;257534;CAM;76500;5 ;TOTY  ;4 ;74kg;;;;;;;;;;;;;;;;;;;;;;;;;Incisive Pass, Whipped Pass, Flair, First Touch, Relentless, ;Finesse Shot, Technical, Dead Ball, ;;;;;;;;;;;;;;;;;;;;;;;
January 24, 2025 18:00;37;RM, CAM, ST;;Unique;100821319;Inter Miami CF;;Left;https://www.futwiz.com/en/fc25/player/lionel-messi/21002;"5' 7"" / 169cm";21002;MLS;Lionel Messi;Argentina;93;158023;RW;32500;4 ;TOTY Honourable Mention  ;4 ;67kg;;;;;;;;;;;;;;;;;;;;;;;;;Finesse Shot, Dead Ball, Tiki Taka, Quick Step, Relentless, Trivela, ;Incisive Pass, Technical, ;;;;;;;;;;;;;;;;;;;;;;;
March 7, 2025 18:00;20;LM, ST;;Unique;100932700;FC Barcelona;;Left;https://www.futwiz.com/en/fc25/player/salma-paralluelo/22152;"5' 9"" / 175cm";22152;Liga F;Salma Paralluelo;Spain;93;269404;LW;11750;5 ;FUT Birthday  ;5 ;68kg;;;;;;;;;;;;;;;;;;;;;;;;;Finesse Shot, Power Header, Trickster, Relentless, Trivela, ;Technical, Quick Step, ;;;;;;;;;;;;;;;;;;;;;;;
January 21, 2025 18:00;32;;;Unique;50536611;Real Madrid;;Right;https://www.futwiz.com/en/fc25/player/carvajal/20649;"5' 8"" / 173cm";20649;ESP 1;Carvajal;Spain;95;204963;RB;76500;4 ;TOTY  ;4 ;73kg;;;;;;;;;;;;;;;;;;;;;;;;;Whipped Pass, Block, Intercept, Technical, First Touch, Relentless, ;Long Ball Pass, Jockey, Press Proven, ;;;;;;;;;;;;;;;;;;;;;;;
January 17, 2025 18:01;24;RW, LW;;Short & Normal;100927308;Portland Thorns;;Right;https://www.futwiz.com/en/fc25/player/sophia-wilson/20627;"5' 5"" / 164cm";20627;NWSL;Sophia Wilson;United States;97;264012;ST;78500;4 ;TOTY  ;5 ;58kg;;;;;;;;;;;;;;;;;;;;;;;;;Finesse Shot, Technical, Rapid, Flair, Trickster, ;Power Shot, First Touch, Quick Step, ;;;;;;;;;;;;;;;;;;;;;;;
January 31, 2025 17:01;25;LW;;Unique;134449475;Real Madrid;;Right;https://www.futwiz.com/en/fc25/player/kylian-mbappe/21054;"6' 0"" / 182cm";21054;ESP 1;Kylian Mbappe;France;93;231747;ST;1400700;5 ;La Liga POTM  ;4 ;75kg;;;;;;;;;;;;;;;;;;;;;;;;;Finesse Shot, Rapid, Flair, Quick Step, Trivela, Acrobatic, ;Trickster, ;;;;;;;;;;;;;;;;;;;;;;;
March 7, 2025 18:00;26;CAM;;Short & Normal;117682179;FC Barcelona;;Right;https://www.futwiz.com/en/fc25/player/aitana-bonmati/22150;"5' 4"" / 162cm";22150;Liga F;Aitana Bonmati;Spain;94;241667;CM;12250;5 ;FUT Birthday  ;5 ;53kg;;;;;;;;;;;;;;;;;;;;;;;;;Incisive Pass, Pinged Pass, Tiki Taka, Intercept, First Touch, Relentless, ;Finesse Shot, Technical, ;;;;;;;;;;;;;;;;;;;;;;;
March 28, 2025 18:00;28;LM, LW;;Short & Normal;67374103;Arsenal;;Left;https://www.futwiz.com/en/fc25/player/katie-mccabe/22674;"5' 5"" / 164cm";22674;Barclays WSL;Katie McCabe;Republic of Ireland;92;265239;LB;11500;4 ;Dreamchasers WUCL  ;4 ;55kg;;;;;;;;;;;;;;;;;;;;;;;;;Finesse Shot, Long Ball Pass, Tiki Taka, Bruiser, Rapid, Press Proven, Long Throw, Low Driven Shot, ;Whipped Pass, Slide Tackle, ;;;;;;;;;;;;;;;;;;;;;;;
February 14, 2025 18:00;25;CDM;;Avg & Normal;67348701;Liverpool;;Right;https://www.futwiz.com/en/fc25/player/alexis-mac-allister/21408;"5' 9"" / 176cm";21408;ENG 1;Alexis Mac Allister;Argentina;92;239837;CM;11750;4 ;Grassroot Greats  ;5 ;72kg;;;;;;;;;;;;;;;;;;;;;;;;;Power Shot, Dead Ball, Anticipate, Technical, First Touch, Press Proven, ;Pinged Pass, Incisive Pass, ;;;;;;;;;;;;;;;;;;;;;;;
February 21, 2025 18:00;24;CDM, CM;;Tall & Lean;67350501;Real Madrid;;Right;https://www.futwiz.com/en/fc25/player/aurelien-tchouameni/21477;"6' 2"" / 188cm";21477;ESP 1;Aurelien Tchouameni;France;94;241637;CB;42250;4 ;Fantasy FC  ;4 ;82kg;;;;;;;;;;;;;;;;;;;;;;;;;Incisive Pass, Jockey, Block, Intercept, Slide Tackle, Bruiser, Relentless, Aerial, ;Long Ball Pass, Anticipate, ;;;;;;;;;;;;;;;;;;;;;;;
March 28, 2025 18:00;78;;;--;50521696;Icons;;Right;https://www.futwiz.com/en/fc25/player/gerd-muller/22659;"5' 9"" / 176cm";22659;ICO;Gerd Muller;Germany;94;190048;ST;255450;4 ;Dreamchasers Icon  ;5 ;0kg;;;;;;;;;;;;;;;;;;;;;;;;;Chip Shot, Technical, Rapid, First Touch, Trickster, Press Proven, Trivela, Aerial, ;Finesse Shot, Power Shot, Low Driven Shot, ;;;;;;;;;;;;;;;;;;;;;;;
February 14, 2025 18:00;41;LW;;--;67265480;Icons;;Right;https://www.futwiz.com/en/fc25/player/franck-ribery/21405;"5' 7"" / 170cm";21405;ICO;Franck Ribery;France;93;156616;LM;27500;5 ;Grassroot Greats Icons  ;5 ;0kg;;;;;;;;;;;;;;;;;;;;;;;;;Finesse Shot, Dead Ball, Incisive Pass, Whipped Pass, Flair, Relentless, Trivela, ;Quick Step, Technical, ;;;;;;;;;;;;;;;;;;;;;;;
January 19, 2025 18:00;21;CM;;Avg & Normal;134470099;Real Madrid;;Right;https://www.futwiz.com/en/fc25/player/jude-bellingham/20637;"6' 1"" / 186cm";20637;ESP 1;Jude Bellingham;England;97;252371;CAM;78500;4 ;TOTY  ;5 ;75kg;;;;;;;;;;;;;;;;;;;;;;;;;Pinged Pass, Intercept, Slide Tackle, Technical, Flair, ;Incisive Pass, Relentless, Power Shot, ;;;;;;;;;;;;;;;;;;;;;;;
April 11, 2025 18:00;79;RM, ST;;--;67377377;Icons;;Right;https://www.futwiz.com/en/fc25/player/jairzinho/22787;"5' 8"" / 173cm";22787;ICO;Jairzinho;Brazil;93;268513;RW;77500;5 ;Immortal Icon  ;4 ;0kg;;;;;;;;;;;;;;;;;;;;;;;;;Power Shot, Incisive Pass, Whipped Pass, Flair, First Touch, Quick Step, Trivela, Acrobatic, ;Technical, Rapid, Trickster, ;;;;;;;;;;;;;;;;;;;;;;;
February 21, 2025 18:00;25;LM, RW, ST;;Unique;84117527;Aston Villa;;Right;https://www.futwiz.com/en/fc25/player/donyell-malen/21484;"5' 9"" / 176cm";21484;ENG 1;Donyell Malen;Netherlands;93;231447;RM;11750;5 ;Fantasy FC  ;5 ;68kg;;;;;;;;;;;;;;;;;;;;;;;;;Chip Shot, Power Shot, Incisive Pass, Tiki Taka, Whipped Pass, Technical, Flair, Quick Step, Trivela, Low Driven Shot, ;Rapid, First Touch, ;;;;;;;;;;;;;;;;;;;;;;;
